id,难度,题目,标准答案,模型解答步骤,模型最终答案,评审结论,评审理由,人工判定（正确/漏判）,备注
t1-034,L1,一件商品原价 500 元，现按 7 折出售，现价多少元？,350,第1步 “7 折”表示按原价的 70% 出售，即现价 = 原价 × 0.7（依据：折扣定义，几折 = 十分之几 = 百分之几十）。 ⏵ 第2步 代入原价计算：500 × 0.7 = 350（依据：乘法）。,350 元,过程正确,逐步推导正确：各步可由题设严格推出、计算无误、依据真实；最终答案数值与标准答案一致（末尾单位符合题设提问，如“多少元”“平方厘米”）。,,
t1-007,L1,计算：44 × 20 + 27 ÷ 3,889,第1步 先算乘法：44 × 20 = 880（依据：四则运算中乘法优先级高于加法）。 ⏵ 第2步 再算除法：27 ÷ 3 = 9（依据：除法优先级高于加法，且 3 × 9 = 27）。 ⏵ 第3步 最后相加：880 + 9 = 889（依据：同级加法为最后一步）。,889,过程正确,逐步推导正确：每步推论均可由题设与前序步骤严格推出、计算无误、依据真实；最终答案与标准答案一致。,,
t1-009,L1,计算：33 × 24 + 48 ÷ 6,800,第1步 先算乘法：33 × 24 = 33 × (20 + 4) = 660 + 132 = 792（依据：乘法分配律与乘法优先级）。 ⏵ 第2步 再算除法：48 ÷ 6 = 8（依据：除法优先级高于加法，且 6 × 8 = 48）。 ⏵ 第3步 最后相加：792 + 8 = 800（依据：同级加法为最后一步）。,800,过程正确,逐步推导正确：每步推论均可由题设与前序步骤严格推出、计算无误、依据真实；最终答案与标准答案一致。,,
t1-037,L1,一个长方形长 26 厘米、宽 12 厘米，求它的面积（平方厘米）,312,第1步 长方形面积公式：面积 = 长 × 宽（依据：几何公式）。 ⏵ 第2步 代入数值计算：26 × 12 = 312（依据：乘法）。,312 平方厘米,过程正确,逐步推导正确：各步可由题设严格推出、计算无误、依据真实；最终答案数值与标准答案一致（末尾单位符合题设提问，如“多少元”“平方厘米”）。,,
t2-019,L2,等比数列首项为 3，公比为 3，求第 4 项的值,81,第1步 等比数列通项公式：a_n = a_1 × r^(n−1)（依据：等比数列通项公式）。 ⏵ 第2步 代入 a_1 = 3，r = 3，n = 4：a_4 = 3 × 3^(4−1) = 3 × 3^3 = 3 × 27 = 81（依据：乘方与乘法）。,81,过程正确,逐步推导正确：等比数列通项 a_n=a_1·r^(n−1) 应用无误、乘方与乘法计算正确；最终答案与标准答案一致。,,
t2-080,L2,计算 log₂(2048) 的值,11,第1步 设 log₂(2048) = x，则 2^x = 2048（依据：对数定义，若 logₐ(b)=x 则 a^x = b）。 ⏵ 第2步 因 2048 = 2^11，故 x = 11（依据：底数相同则指数相等，对数唯一）。,11,过程正确,逐步推导正确：由对数定义设 2^x=真数，化为同底幂比较指数得到 x，依据真实、计算无误；最终答案与标准答案一致。,,
t2-001,L2,等差数列首项为 2，公差为 9，求前 9 项的和,342,第1步 等差数列前 n 项和公式：S_n = n/2 × (2a_1 + (n−1)d)（依据：等差数列求和公式）。 ⏵ 第2步 代入 a_1 = 2，d = 9，n = 9，先算括号内：2a_1 + (n−1)d = 2×2 + 8×9 = 4 + 72 = 76。 ⏵ 第3步 计算 S_9 = 9/2 × 76 = 9 × 38 = 342（依据：乘法）。,342,过程正确,逐步推导正确：等差数列求和公式 S_n=n/2·(2a_1+(n−1)d) 应用无误、代入与计算正确；最终答案与标准答案一致。,,
t2-035,L2,从 1 到 95 的整数中任取一个数，取到 8 的倍数的概率是多少？用最简分数表示,11/95,"第1步 在 1 到 95 中，8 的倍数为 8, 16, …, 88，共有 ⌊95/8⌋ = 11 个（依据：整除计数，最大不超过 95 的 8 的倍数为 8×11=88）。 ⏵ 第2步 任取一数共 95 种等可能结果，取到 8 的倍数的概率 = 11/95（依据：古典概型）。 ⏵ 第3步 约分：11 为质数且不整除 95（95 = 5×19），11 与 95 互质，11/95 已为最简分数。",11/95,过程正确,逐步推导正确：先用整除计数得倍数个数，再按古典概型写出分数并约至最简，计算与约分无误；最终答案与标准答案一致。,,
t2-044,L2,甲、乙两地相距 396 千米，客车和货车同时从两地出发相向而行，速度分别为每小时 70 千米和 62 千米，出发后几小时两车相遇？,3,第1步 相向而行时两车相对速度 = 速度和 = 70 + 62 = 132（千米/小时）（依据：相遇问题，相对速度 = 两车速度之和）。 ⏵ 第2步 相遇时间 t = 总路程 ÷ 速度和 = 396 ÷ 132（依据：相遇问题公式 t = S ÷ (v₁ + v₂)）。 ⏵ 第3步 计算：396 ÷ 132 = 3（依据：除法）。,3,过程正确,逐步推导正确：相向而行相对速度为两车速度之和，相遇时间 t=总路程÷速度和，计算无误、依据真实；最终答案与标准答案一致。,,
t2-030,L2,求函数 f(x) = x² - 6x + 20 在实数范围内的最小值,11,第1步 配方：f(x) = x² − 6x + 20 = (x² − 6x + 9) − 9 + 20 = (x − 3)² + 11（依据：完全平方公式，配常数项 (−6/2)² = 9）。 ⏵ 第2步 因 (x − 3)² ≥ 0，当且仅当 x = 3 时取 0，故 f(x) ≥ 11（依据：平方非负性），最小值为 11。,11,过程正确,逐步推导正确：配方为完全平方式并借平方非负性得最小值，计算无误、依据真实；最终答案与标准答案一致。,,
t3-005,L3,求 1² + 2² + 3² + … + 26² 的和,6201,第1步 平方和公式：1² + 2² + … + n² = n(n+1)(2n+1)/6（依据：自然数平方和公式）。 ⏵ 第2步 代入 n = 26：S = 26 × 27 × (2×26 + 1) / 6 = 26 × 27 × 53 / 6（依据：代入）。 ⏵ 第3步 计算：26/2 = 13，6/2 = 3，故 S = 13 × 27 × 53 / 3 = 13 × 9 × 53 = 13 × 477 = 6201（依据：乘法与约分）。,6201,过程正确,逐步推导正确：套用自然数平方和公式 n(n+1)(2n+1)/6，代入并约分计算无误、依据真实；最终答案与标准答案一致。,,
t3-032,L3,62!（62 的阶乘）的末尾有多少个连续的 0？,14,第1步 n! 末尾连续 0 的个数等于因子 5 的总个数，即 ⌊n/5⌋ + ⌊n/25⌋ + ⌊n/125⌋ + …（依据：质因数分解与配对原理）。 ⏵ 第2步 代入 n = 62：⌊62/5⌋ = 12，⌊62/25⌋ = 2，⌊62/125⌋ = 0（依据：整除）。 ⏵ 第3步 总数 = 12 + 2 = 14（依据：加法）。,14,过程正确,逐步推导正确：n! 末尾连续 0 的个数等于因子 5 的总个数，按 Legendre 公式 ⌊n/5⌋+⌊n/25⌋+… 累加计数为整数值，计算无误、依据真实；最终答案与标准答案一致。,,
t3-033,L3,"平面直角坐标系中，三角形三个顶点为 (-7, -4)、(1, -3)、(6, 1)，求该三角形的面积",27/2,"第1步 用鞋带公式（行列式法）：S = |x₁(y₂−y₃) + x₂(y₃−y₁) + x₃(y₁−y₂)| / 2（依据：平面三角形面积公式）。 ⏵ 第2步 代入 A(−7,−4)、B(1,−3)、C(6,1)：(-7)·((−3)−1) + 1·(1−(−4)) + 6·((−4)−(−3)) = (-7)·(-4) + 1·5 + 6·(-1) = 28 + 5 − 6 = 27（依据：代入与乘法）。 ⏵ 第3步 S = |27| / 2 = 27/2（依据：取绝对值与除法，化为最简分数）。",27/2,过程正确,逐步推导正确：用鞋带公式 S=|x₁(y₂−y₃)+x₂(y₃−y₁)+x₃(y₁−y₂)|/2 代入坐标计算，取绝对值并约至最简分数，计算无误、依据真实；最终答案与标准答案一致。,,
t3-042,L3,已知 x₁、x₂ 是方程 x² - 4x + 0 = 0 的两个根，求 x₁² + x₂² 的值,16,第1步 由韦达定理，方程 x² + bx + c = 0 的两根满足 x₁ + x₂ = −b，x₁x₂ = c（依据：韦达定理）。 ⏵ 第2步 利用恒等式 x₁² + x₂² = (x₁ + x₂)² − 2x₁x₂（依据：完全平方公式变形）。 ⏵ 第3步 本题中 b = −4，c = 0，故 x₁ + x₂ = 4，x₁x₂ = 0；代入得 x₁² + x₂² = 4² − 2×0 = 16 − 0 = 16（依据：代入与计算）。,16,过程正确,逐步推导正确：由韦达定理得两根和与积，再用 (x₁+x₂)²−2x₁x₂ 求平方和，代入符号与计算无误、依据真实；最终答案与标准答案一致。,,
t3-044,L3,已知 x₁、x₂ 是方程 x² - 7x + 10 = 0 的两个根，求 x₁² + x₂² 的值,29,第1步 由韦达定理，方程 x² + bx + c = 0 的两根满足 x₁ + x₂ = −b，x₁x₂ = c（依据：韦达定理）。 ⏵ 第2步 利用恒等式 x₁² + x₂² = (x₁ + x₂)² − 2x₁x₂（依据：完全平方公式变形）。 ⏵ 第3步 本题中 b = −7，c = 10，故 x₁ + x₂ = 7，x₁x₂ = 10；代入得 x₁² + x₂² = 7² − 2×10 = 49 − 20 = 29（依据：代入与计算）。,29,过程正确,逐步推导正确：由韦达定理得两根和与积，再用 (x₁+x₂)²−2x₁x₂ 求平方和，代入符号与计算无误、依据真实；最终答案与标准答案一致。,,
t3-039,L3,"平面直角坐标系中，三角形三个顶点为 (1, 4)、(0, -3)、(3, -8)，求该三角形的面积",13,"第1步 用鞋带公式：S = |x₁(y₂−y₃) + x₂(y₃−y₁) + x₃(y₁−y₂)| / 2（依据：平面三角形面积公式）。 ⏵ 第2步 代入 A(1,4)、B(0,−3)、C(3,−8)：1·((−3)−(−8)) + 0·((−8)−4) + 3·(4−(−3)) = 1·5 + 0 + 3·7 = 5 + 0 + 21 = 26（依据：代入与乘法）。 ⏵ 第3步 S = |26| / 2 = 13（依据：取绝对值与除法）。",13,过程正确,逐步推导正确：用鞋带公式 S=|x₁(y₂−y₃)+x₂(y₃−y₁)+x₃(y₁−y₂)|/2 代入坐标计算，取绝对值并约至最简分数，计算无误、依据真实；最终答案与标准答案一致。,,
t4-002,L4,一列火车长 200 米，以每小时 90 千米的速度通过一座长 500 米的大桥，从车头上桥到车尾完全离桥共需多少秒？,28,第1步 火车完全通过大桥所走的总路程 = 车长 + 桥长 = 200 + 500 = 700（米）（依据：从车头上桥到车尾离桥，路程需覆盖桥长与自身车身长）。 ⏵ 第2步 速度换算：90 千米/小时 = 90 × 1000 / 3600 = 25（米/秒）（依据：1 千米/小时 = 1000/3600 米/秒）。 ⏵ 第3步 时间 t = 总路程 ÷ 速度 = 700 ÷ 25 = 28（秒）（依据：时间 = 路程 ÷ 速度）。,28,过程正确,逐步推导正确：完全通过大桥总路程=车长+桥长，速度换算为米/秒后 t=路程÷速度，计算无误、依据真实；最终答案与标准答案一致。,,
t4-023,L4,一个正整数除以 3 余 0，除以 5 余 2，除以 7 余 3，满足条件的最小正整数是多少？,87,第1步 由 x ≡ 3 (mod 7)，设 x = 7k + 3（依据：同余设元）。 ⏵ 第2步 合并 x ≡ 3 (mod 7) 与 x ≡ 2 (mod 5)：7k + 3 ≡ 2 (mod 5) → 2k ≡ −1 ≡ 4 (mod 5) → k ≡ 2 (mod 5)，即 k = 5m + 2，得 x = 7(5m + 2) + 3 = 35m + 17（依据：同余化简与合并模 5、7）。 ⏵ 第3步 再合并 x ≡ 0 (mod 3)：35m + 17 ≡ 0 (mod 3) → 2m + 2 ≡ 0 (mod 3)（因 17≡2）→ 2m ≡ 1 (mod 3) → m ≡ 2 (mod 3)，即 m = 3n + 2，得 x = 35(3n + 2) + 17 = 105n + 87（依据：合并模 3）。 ⏵ 第4步 取最小正整数解 n = 0，得 x = 87；检验 87 mod 3 = 0、87 mod 5 = 2、87 mod 7 = 3 均满足（依据：取最小非负解并验证）。,87,过程正确,逐步推导正确：同余设元后逐次合并模 7、5、3 条件（含乘逆元化简），取最小正整数解并回代验证各余数，计算无误、依据真实；最终答案与标准答案一致。,,
t4-025,L4,一个正整数除以 3 余 2，除以 5 余 4，除以 7 余 3，满足条件的最小正整数是多少？,59,第1步 由 x ≡ 3 (mod 7)，设 x = 7k + 3（依据：同余设元）。 ⏵ 第2步 合并 x ≡ 3 (mod 7) 与 x ≡ 4 (mod 5)：7k + 3 ≡ 4 (mod 5) → 2k ≡ 1 (mod 5) → k ≡ 3 (mod 5)（2 的逆元为 3，k ≡ 1×3 = 3），即 k = 5m + 3，得 x = 7(5m + 3) + 3 = 35m + 24（依据：同余化简与合并模 5、7）。 ⏵ 第3步 再合并 x ≡ 2 (mod 3)：35m + 24 ≡ 2 (mod 3) → 2m + 0 ≡ 2 (mod 3)（因 24≡0）→ 2m ≡ 2 (mod 3) → m ≡ 1 (mod 3)，即 m = 3n + 1，得 x = 35(3n + 1) + 24 = 105n + 59（依据：合并模 3）。 ⏵ 第4步 取最小正整数解 n = 0，得 x = 59；检验 59 mod 3 = 2、59 mod 5 = 4、59 mod 7 = 3 均满足（依据：取最小非负解并验证）。,59,过程正确,逐步推导正确：同余设元后逐次合并模 7、5、3 条件（含乘逆元化简），取最小正整数解并回代验证各余数，计算无误、依据真实；最终答案与标准答案一致。,,
t4-003,L4,一列火车长 100 米，以每小时 72 千米的速度通过一座长 840 米的大桥，从车头上桥到车尾完全离桥共需多少秒？,47,第1步 火车完全通过大桥所走的总路程 = 车长 + 桥长 = 100 + 840 = 940（米）（依据：从车头上桥到车尾离桥，路程需覆盖桥长与自身车身长）。 ⏵ 第2步 速度换算：72 千米/小时 = 72 × 1000 / 3600 = 20（米/秒）（依据：1 千米/小时 = 1000/3600 米/秒）。 ⏵ 第3步 时间 t = 总路程 ÷ 速度 = 940 ÷ 20 = 47（秒）（依据：时间 = 路程 ÷ 速度）。,47,过程正确,逐步推导正确：完全通过大桥总路程=车长+桥长，速度换算为米/秒后 t=路程÷速度，计算无误、依据真实；最终答案与标准答案一致。,,
t4-009,L4,把一根木头锯成 6 段，每锯开一处需要 5 分钟，把这根木头全部锯完共需多少分钟？,25,第1步 把木头锯成 6 段需要锯 6 − 1 = 5 次（依据：段数比锯的次数多 1，每锯一次增加一段）。 ⏵ 第2步 总时间 = 锯的次数 × 每次耗时 = 5 × 5 = 25（分钟）（依据：乘法）。,25,过程正确,逐步推导正确：锯成 n 段需锯 n−1 次，总时间=(n−1)×每次耗时，计算无误、依据真实；最终答案与标准答案一致。,,
t4-022,L4,一个正整数除以 3 余 1，除以 5 余 3，除以 7 余 4，满足条件的最小正整数是多少？,88,第1步 由 x ≡ 4 (mod 7)，设 x = 7k + 4（依据：同余设元）。 ⏵ 第2步 合并 x ≡ 4 (mod 7) 与 x ≡ 3 (mod 5)：7k + 4 ≡ 3 (mod 5) → 2k ≡ −1 ≡ 4 (mod 5) → k ≡ 2 (mod 5)（2 在模 5 下逆元为 3，k ≡ 4×3 ≡ 2），即 k = 5m + 2，得 x = 7(5m + 2) + 4 = 35m + 18（依据：同余化简与合并模 5、7）。 ⏵ 第3步 再合并 x ≡ 1 (mod 3)：35m + 18 ≡ 1 (mod 3) → 2m + 0 ≡ 1 (mod 3)（因 18≡0）→ 2m ≡ 1 (mod 3) → m ≡ 2 (mod 3)，即 m = 3n + 2，得 x = 35(3n + 2) + 18 = 105n + 88（依据：合并模 3）。 ⏵ 第4步 取最小正整数解 n = 0，得 x = 88；检验 88 mod 3 = 1、88 mod 5 = 3、88 mod 7 = 4 均满足（依据：取最小非负解并验证）。,88,过程正确,逐步推导正确：同余设元后逐次合并模 7、5、3 条件（含乘逆元化简），取最小正整数解并回代验证各余数，计算无误、依据真实；最终答案与标准答案一致。,,
t4-007,L4,把一根木头锯成 6 段，每锯开一处需要 7 分钟，把这根木头全部锯完共需多少分钟？,35,第1步 把木头锯成 6 段需要锯 6 − 1 = 5 次（依据：段数比锯的次数多 1，每锯一次增加一段）。 ⏵ 第2步 总时间 = 锯的次数 × 每次耗时 = 5 × 7 = 35（分钟）（依据：乘法）。,35,过程正确,逐步推导正确：锯成 n 段需锯 n−1 次，总时间=(n−1)×每次耗时，计算无误、依据真实；最终答案与标准答案一致。,,
t5-017,L5,在 1 到 699 的正整数中，能被 4 或 6 整除的数共有多少个？,232,"第1步 统计 1 到 699 中能被 4 或 6 整除的数的个数，用容斥原理：|A∪B| = |A| + |B| - |A∩B|（依据：容斥原理；A∩B 为被 lcm(4,6)=12 整除）。 ⏵ 第2步 被 4 整除的个数：⌊699/4⌋ = 174（因 4×174 = 696 ≤ 699 < 4×175）。 ⏵ 第3步 被 6 整除的个数：⌊699/6⌋ = 116（因 6×116 = 696 ≤ 699 < 6×117）。 ⏵ 第4步 被 12 整除的个数：⌊699/12⌋ = 58（因 12×58 = 696 ≤ 699 < 12×59）。 ⏵ 第5步 代入容斥：174 + 116 - 58 = 232（个）。",232,过程正确,逐步推导正确：容斥原理 |A∪B|=|A|+|B|−|A∩B|，三个整除计数（含 lcm 交集）与代入计算均无误、依据真实；最终答案与标准答案一致。,,
t5-033,L5,把 45 表示为至少 2 个连续正整数的和，共有多少种不同的表示方法？,5,"第1步 设 N=45，k 个连续正整数（k≥2）之和：N = k(2a+k-1)/2，即 2N = k(2a+k-1)。 ⏵ 第2步 方法数（k≥2）= N 的奇因子个数 − 1。 ⏵ 第3步 分解 N=45=3²×5，其奇因子个数 = (2+1)(1+1) = 6（即 1,3,5,9,15,45）。 ⏵ 第4步 至少 2 项的方法数 = 6 − 1 = 5（具体为 22+23、14+15+16、7+8+9+10+11、5+…+10、1+…+9）。",5,过程正确,逐步推导正确：由 2N=k(2a+k−1) 建立连续和表示与奇因子的一一对应，分解质因数数奇因子个数后减 1，计算无误、依据真实；最终答案与标准答案一致。,,
t5-002,L5,有 6 封信和 6 个分别写好地址的信封，每封信都装错信封的装法共有多少种？,265,第1步 设 D_n 为 n 个元素的错排数，递推公式 D_n = (n-1)(D_{n-1} + D_{n-2})，初值 D_1 = 0，D_2 = 1（依据：错排递推关系）。 ⏵ 第2步 D_3 = 2·(D_2 + D_1) = 2·(1 + 0) = 2。 ⏵ 第3步 D_4 = 3·(D_3 + D_2) = 3·(2 + 1) = 9。 ⏵ 第4步 D_5 = 4·(D_4 + D_3) = 4·(9 + 2) = 44。 ⏵ 第5步 D_6 = 5·(D_5 + D_4) = 5·(44 + 9) = 5·53 = 265。,265,过程正确,逐步推导正确：信封装错为错排问题，用递推 D_n=(n−1)(D_{n−1}+D_{n−2}) 自初值逐项计算无误、依据真实；最终答案与标准答案一致。,,
t5-025,L5,甲盒中有 5 个白球和 5 个红球，乙盒中有 2 个白球和 6 个红球。随机选择一个盒子（选中概率各为 1/2）并从中摸出一球，已知摸出的是红球，这个球来自甲盒的概率是多少？用最简分数表示,2/5,第1步 记事件 A：选中甲盒，B：选中乙盒，R：摸出红球。P(A)=P(B)=1/2。 ⏵ 第2步 甲盒共 5+5=10 球，红球 5 个，P(R|A)=5/10=1/2；乙盒共 2+6=8 球，红球 6 个，P(R|B)=6/8=3/4。 ⏵ 第3步 全概率：P(R)=1/2·1/2+1/2·3/4=1/4+3/8=2/8+3/8=5/8。 ⏵ 第4步 贝叶斯：P(A|R)=（1/2·1/2）/(5/8)=（1/4）/(5/8)=1/4·8/5=8/20。 ⏵ 第5步 化简：8/20 分子分母同除以 4，得 2/5（已为最简分数）。,2/5,过程正确,逐步推导正确：先写出各盒条件下摸出红球的概率，全概率公式求 P(R)，再由贝叶斯公式求后验概率并约至最简分数，计算无误、依据真实；最终答案与标准答案一致。,,
t5-043,L5,100! 的质因数分解中，质数 7 的指数是多少？,16,第1步 求 100! 中质因子 7 的指数，用勒让德公式：v_p(n!) = Σ ⌊n/p^k⌋。 ⏵ 第2步 计算 ⌊100/7⌋ = 14（因 7×14 = 98 ≤ 100 < 7×15 = 105）。 ⏵ 第3步 计算 ⌊100/7²⌋ = ⌊100/49⌋ = 2（因 49×2 = 98 ≤ 100 < 49×3 = 147）。 ⏵ 第4步 计算 ⌊100/7³⌋ = ⌊100/343⌋ = 0，停止。 ⏵ 第5步 求和：v_7(100!) = 14 + 2 = 16。,16,过程正确,逐步推导正确：用勒让德公式 v_p(n!)=Σ⌊n/p^k⌋ 逐项计算下取整并在 p^k>n 后停止，求和无误、依据真实；最终答案与标准答案一致。,,
t5-021,L5,甲盒中有 2 个白球和 3 个红球，乙盒中有 4 个白球和 3 个红球。随机选择一个盒子（选中概率各为 1/2）并从中摸出一球，已知摸出的是红球，这个球来自甲盒的概率是多少？用最简分数表示,7/12,第1步 记事件 A：选中甲盒，B：选中乙盒，R：摸出红球。已知 P(A)=P(B)=1/2（依据：两盒等概率被选）。 ⏵ 第2步 甲盒共 2+3=5 球，红球 3 个，故 P(R|A)=3/5；乙盒共 4+3=7 球，红球 3 个，故 P(R|B)=3/7。 ⏵ 第3步 由全概率公式：P(R)=P(A)P(R|A)+P(B)P(R|B)=1/2·3/5+1/2·3/7=3/10+3/14。通分得 (21+15)/70=36/70=18/35。 ⏵ 第4步 由贝叶斯公式：P(A|R)=P(A)P(R|A)/P(R)=（1/2·3/5）/(18/35)=（3/10）/(18/35)=3/10·35/18=105/180。 ⏵ 第5步 化简：105/180 分子分母同除以 15，得 7/12（已为最简分数）。,7/12,过程正确,逐步推导正确：先写出各盒条件下摸出红球的概率，全概率公式求 P(R)，再由贝叶斯公式求后验概率并约至最简分数，计算无误、依据真实；最终答案与标准答案一致。,,
t5-003,L5,有 4 封信和 4 个分别写好地址的信封，每封信都装错信封的装法共有多少种？,9,第1步 设 D_n 为 n 个元素的错排数，递推公式 D_n = (n-1)(D_{n-1} + D_{n-2})，初值 D_1 = 0，D_2 = 1（依据：错排递推关系）。 ⏵ 第2步 D_3 = 2·(D_2 + D_1) = 2·(1 + 0) = 2。 ⏵ 第3步 D_4 = 3·(D_3 + D_2) = 3·(2 + 1) = 9。,9,过程正确,逐步推导正确：信封装错为错排问题，用递推 D_n=(n−1)(D_{n−1}+D_{n−2}) 自初值逐项计算无误、依据真实；最终答案与标准答案一致。,,
